Scylla requestN, Scylla Time [ns],Scylla Failed
0,6999100,false
1,8004500,false
2,8004500,false
3,9005900,false
4,9005900,false
5,10001500,false
6,10001500,false
7,11001300,false
8,12004100,false
9,12004100,false
10,12004100,false
11,13003700,false
12,13003700,false
13,13003700,false
14,15008100,false
15,15008100,false
16,15008100,false
17,16001800,false
18,16001800,false
19,16999900,false
20,16999900,false
21,16999900,false
22,18000100,false
23,18000100,false
24,18000100,false
25,19002100,false
26,19002100,false
27,20001100,false
28,20001100,false
29,20001100,false
30,21000300,false
31,21000300,false
32,21000300,false
33,22001000,false
34,22001000,false
35,22001000,false
36,22001000,false
37,23001100,false
38,3000000,false
39,5001000,false
40,24005000,false
41,24005000,false
42,3005400,false
43,25006400,false
44,25006400,false
45,26003100,false
46,26003100,false
47,26003100,false
48,27000300,false
49,27000300,false
50,27000300,false
51,27000300,false
52,28004000,false
53,28004000,false
54,28004000,false
55,28004000,false
56,28998600,false
57,28998600,false
58,28998600,false
59,29999800,false
60,29999800,false
61,31001100,false
62,31001100,false
63,31001100,false
64,3996700,false
65,32000700,false
66,33001000,false
67,33001000,false
68,33001000,false
69,33999600,false
70,33999600,false
71,33999600,false
72,33999600,false
73,35008000,false
74,35008000,false
75,35008000,false
76,35008000,false
77,36005500,false
78,36005500,false
79,36005500,false
80,37002000,false
81,37002000,false
82,37002000,false
83,38000000,false
84,38000000,false
85,38000000,false
86,38000000,false
87,38000000,false
88,39005700,false
89,39005700,false
90,40000200,false
91,40000200,false
92,40000200,false
93,40000200,false
94,41000100,false
95,41000100,false
96,41000100,false
97,42003200,false
98,42003200,false
99,42003200,false
100,42003200,false
101,42999100,false
102,42999100,false
103,34994600,false
104,36000000,false
105,35003000,false
106,36004400,false
107,34999300,false
108,36000200,false
109,36995800,false
110,33997600,false
111,35000400,false
112,34997000,false
113,33997400,false
114,34997000,false
115,31993000,false
116,34996100,false
117,34996100,false
118,32991700,false
119,33002200,false
120,33002200,false
121,3002300,false
122,3002300,false
123,32000300,false
124,32000300,false
125,33000500,false
126,33999900,false
127,33999900,false
128,50999800,false
129,31997700,false
130,32996600,false
131,31997600,false
132,30998400,false
133,32001400,false
134,32001400,false
135,33000600,false
136,32000900,false
137,32000900,false
138,31000800,false
139,32006500,false
140,33006600,false
141,31999600,false
142,33003500,false
143,30998200,false
144,31993900,false
145,32994600,false
146,31997900,false
147,34995100,false
148,32997000,false
149,33003100,false
150,33999200,false
151,34996400,false
152,33999200,false
153,33999200,false
154,33995900,false
155,33995900,false
156,34998900,false
157,34004300,false
158,34004300,false
159,33003100,false
160,34003000,false
161,35004200,false
162,33001700,false
163,33999800,false
164,33000200,false
165,35000100,false
166,34000500,false
167,33000200,false
168,33999800,false
169,33001200,false
170,34999000,false
171,34000400,false
172,34000400,false
173,34999500,false
174,33991100,false
175,33991100,false
176,33993400,false
177,33993400,false
178,34990900,false
179,35994100,false
180,34000100,false
181,34000100,false
182,36004400,false
183,35007900,false
184,34009900,false
185,35003100,false
186,35003100,false
187,36003300,false
188,36003300,false
189,35998800,false
190,35998800,false
191,35004300,false
192,36000900,false
193,36000900,false
194,35998900,false
195,35998900,false
196,36999600,false
197,37999500,false
198,37001000,false
199,37001000,false
200,37001000,false
201,38000300,false
202,37004400,false
203,37004400,false
204,38007000,false
205,38007000,false
206,65998000,false
207,37995000,false
208,37995000,false
209,36002200,false
210,37999900,false
211,35000900,false
212,35999600,false
213,37001900,false
214,36003200,false
215,37998600,false
216,38998000,false
217,35995700,false
218,39002600,false
219,36999700,false
220,38001100,false
221,38001100,false
222,39005300,false
223,37004700,false
224,37000400,false
225,37999800,false
226,38000400,false
227,38999800,false
228,38000400,false
229,39004500,false
230,38005600,false
231,39005800,false
232,39005800,false
233,39006300,false
234,39006300,false
235,38998500,false
236,39998700,false
237,37992800,false
238,39996700,false
239,38991000,false
240,39996700,false
241,38004500,false
242,35001400,false
243,36004700,false
244,38001800,false
245,39998200,false
246,39998200,false
247,39998200,false
248,39002700,false
249,36004200,false
250,36004200,false
251,38998400,false
252,36999000,false
253,34995600,false
254,35998600,false
255,36001000,false
256,36001000,false
257,36997400,false
258,39000800,false
259,35997500,false
260,39009300,false
261,37006400,false
262,36999400,false
263,35999100,false
264,35999100,false
265,37997800,false
266,38995900,false
267,36997500,false
268,35997900,false
269,36000400,false
270,36999600,false
271,36000400,false
272,36003400,false
273,37007600,false
274,37007600,false
275,39008000,false
276,37009100,false
277,37009100,false
278,38005200,false
279,37002000,false
280,35994200,false
281,38000000,false
282,38000000,false
283,36992200,false
284,37989400,false
285,36996200,false
286,36996200,false
287,36998500,false
288,36998500,false
289,36996300,false
290,35999700,false
291,36996300,false
292,37998500,false
293,37004600,false
294,38002500,false
295,38005800,false
296,37005100,false
297,37005100,false
298,36997200,false
299,36997200,false
300,36997200,false
301,36997200,false
302,36997200,false
303,36997200,false
304,35994600,false
305,36993000,false
306,35995200,false
307,36995300,false
308,37993100,false
309,37995700,false
310,36998900,false
311,36998900,false
312,35996600,false
313,37998500,false
314,36996200,false
315,34995500,false
316,34995500,false
317,38004400,false
318,38004400,false
319,38004400,false
320,36998900,false
321,36998900,false
322,36998900,false
323,38001100,false
324,37006000,false
325,36006000,false
326,36006000,false
327,36001200,false
328,38005300,false
329,37005300,false
330,35996700,false
331,36996900,false
332,35993800,false
333,36997300,false
334,35993800,false
335,36002800,false
336,36002800,false
337,36002800,false
338,36001900,false
339,36001900,false
340,34995700,false
341,33997700,false
342,36000100,false
343,37006300,false
344,34001200,false
345,35997700,false
346,35997700,false
347,38993800,false
348,36994900,false
349,38996800,false
350,37995900,false
351,37001100,false
352,37001100,false
353,36997300,false
354,38002700,false
355,38002700,false
356,37000700,false
357,37000700,false
358,37999100,false
359,36990200,false
360,38995500,false
361,35999100,false
362,37991500,false
363,36002000,false
364,38005500,false
365,38005500,false
366,37007100,false
367,37005100,false
368,37005100,false
369,38006800,false
370,39004600,false
371,37000800,false
372,35996600,false
373,35992100,false
374,36993400,false
375,36991600,false
376,39999200,false
377,34997500,false
378,37997900,false
379,37001800,false
380,37001800,false
381,37004400,false
382,38002400,false
383,37003700,false
384,37003700,false
385,36001200,false
386,38000500,false
387,38997700,false
388,36998000,false
389,37000200,false
390,37000200,false
391,35998000,false
392,38002900,false
393,36000100,false
394,34998900,false
395,34998900,false
396,34998200,false
397,34998200,false
398,34998200,false
399,35003500,false
400,36999400,false
401,38000600,false
402,35003500,false
403,35001000,false
404,37005700,false
405,38001500,false
406,36003000,false
407,38009900,false
408,36009400,false
409,37009800,false
410,37000800,false
411,36001200,false
412,36001200,false
413,37003600,false
414,38003200,false
415,38003200,false
416,37003600,false
417,35996600,false
418,34996700,false
419,36996000,false
420,35996100,false
421,35996100,false
422,34998500,false
423,35997800,false
424,36995000,false
425,36995000,false
426,39996500,false
427,37994400,false
428,36995100,false
429,37995200,false
430,36999500,false
431,36999500,false
432,36000300,false
433,36000300,false
434,37001700,false
435,37998700,false
436,37998700,false
437,36000400,false
438,37004800,false
439,36000400,false
440,38995900,false
441,37998600,false
442,37998600,false
443,37998600,false
444,37995500,false
445,38007200,false
446,38007200,false
447,37002100,false
448,37002100,false
449,36001100,false
450,37006100,false
451,36004500,false
452,36004500,false
453,38000600,false
454,38000600,false
455,35999200,false
456,35999200,false
457,37998800,false
458,36000600,false
459,36000600,false
460,37005000,false
461,36003700,false
462,38005500,false
463,37004200,false
464,35999100,false
465,35999100,false
466,36994400,false
467,35994700,false
468,35994700,false
469,36998800,false
470,36001000,false
471,36001000,false
472,36001000,false
473,36004600,false
474,36004600,false
475,36000900,false
476,36000900,false
477,37001600,false
478,35995300,false
479,36996500,false
480,36996500,false
481,35995900,false
482,36996700,false
483,36000200,false
484,36999600,false
485,36999600,false
486,36002800,false
487,38002000,false
488,38002000,false
489,37000800,false
490,37000800,false
491,37999800,false
492,36997100,false
493,36997100,false
494,37996800,false
495,37996800,false
496,37000900,false
497,38001400,false
498,36996800,false
499,38001400,false
500,37995900,false
501,38006700,false
502,39002600,false
503,39002600,false
504,36998300,false
505,37994100,false
506,36998300,false
507,35991500,false
508,36996400,false
509,36005000,false
510,37990100,false
511,36998700,false
512,35996300,false
513,37998800,false
514,36996400,false
515,36996400,false
516,37998900,false
517,37001000,false
518,37999400,false
519,37000000,false
520,37999800,false
521,37999800,false
522,37994900,false
523,37994900,false
524,36997700,false
525,36997700,false
526,37001200,false
527,37001200,false
528,36001100,false
529,37003000,false
530,38003100,false
531,38001100,false
532,36998300,false
533,36998300,false
534,37999000,false
535,37002000,false
536,35997200,false
537,36998900,false
538,36998900,false
539,38003700,false
540,37009900,false
541,37009900,false
542,38000800,false
543,38000800,false
544,37999800,false
545,37993900,false
546,40623000,false
547,40623000,false
548,41616000,false
549,42137200,false
550,44142100,false
551,43137100,false
552,43866700,false
553,50154800,false
554,51154600,false
555,50154800,false
556,51154600,false
557,52149100,false
558,51154600,false
559,51156500,false
560,53157000,false
561,55152800,false
562,54152300,false
563,56152400,false
564,63680900,false
565,66679200,false
566,67695300,false
567,74675200,false
568,74675200,false
569,72675800,false
570,73673900,false
571,73673900,false
572,72673500,false
573,73672500,false
574,72676700,false
575,74675700,false
576,72675500,false
577,78673800,false
578,70676300,false
579,72675500,false
580,70676300,false
581,73674900,false
582,76676000,false
583,74674000,false
584,71675400,false
585,75674800,false
586,71675400,false
587,76676000,false
588,77676700,false
589,73674600,false
590,75674800,false
591,70676400,false
592,70676400,false
593,69676700,false
594,69676700,false
595,71677900,false
596,70678200,false
597,69677700,false
598,70676500,false
599,70676500,false
600,68670700,false
601,68670700,false
602,69674700,false
603,70681400,false
604,68681000,false
605,69679700,false
606,69679700,false
607,68674800,false
608,69679700,false
609,69680400,false
610,69680400,false
611,70683100,false
612,71676800,false
613,69683000,false
614,68680500,false
615,70678500,false
616,70678500,false
617,68677600,false
618,69676900,false
619,68677100,false
620,70675300,false
621,69680900,false
622,68681900,false
623,69682900,false
624,69682900,false
625,68680000,false
626,68680000,false
627,70682300,false
628,69679400,false
629,68677500,false
630,69673700,false
631,68675600,false
632,68675600,false
633,68676400,false
634,69677100,false
635,68676400,false
636,69675600,false
637,69672000,false
638,69672000,false
639,67676300,false
640,69672000,false
641,69670800,false
642,68679900,false
643,63056100,false
644,60537900,false
645,61537800,false
646,67679100,false
647,69680800,false
648,69681200,false
649,59814500,false
650,65057700,false
651,52526600,false
652,53524500,false
653,53524500,false
654,34995200,false
655,53524500,false
656,54520000,false
657,35981400,false
658,29996800,false
659,49520100,false
660,50519700,false
661,39995800,false
662,69053200,false
663,57526800,false
664,51524400,false
665,57526800,false
666,52525400,false
667,67539800,false
668,26004500,false
669,30005400,false
670,32995800,false
671,23998400,false
672,24997200,false
673,25998700,false
674,27003000,false
675,27003000,false
676,28002100,false
677,33999500,false
678,33000500,false
679,28999600,false
680,28000500,false
681,26997200,false
682,27996000,false
683,29996600,false
684,28997500,false
685,29999200,false
686,30998300,false
687,35998200,false
688,35998200,false
689,37996000,false
690,30998900,false
691,30998900,false
692,30997600,false
693,31999100,false
694,28994800,false
695,31999100,false
696,31000900,false
697,34000300,false
698,33001200,false
