Scylla requestN, Scylla Time [ns],Scylla Failed
0,14203200,false
1,14203200,false
2,14096900,false
3,11757500,false
4,15275000,false
5,12293300,false
6,15194900,false
7,15837200,false
8,16343300,false
9,16371900,false
10,16371900,false
11,15143700,false
12,15650500,false
13,16189500,false
14,16189500,false
15,18007900,false
16,18007900,false
17,18539800,false
18,18539800,false
19,17897500,false
20,18446500,false
21,19088800,false
22,19625000,false
23,19625000,false
24,20172100,false
25,20172100,false
26,20735200,false
27,20735200,false
28,20735200,false
29,21279300,false
30,19448700,false
31,21845700,false
32,20015100,false
33,21322800,false
34,20770400,false
35,21846800,false
36,23198300,false
37,23198300,false
38,22453100,false
39,21900700,false
40,22457200,false
41,24287800,false
42,22993600,false
43,24824200,false
44,24691000,false
45,25353500,false
46,5123900,false
47,25915500,false
48,24084900,false
49,26451300,false
50,26451300,false
51,26345900,false
52,26988200,false
53,27534300,false
54,25749300,false
55,25748700,false
56,28085400,false
57,28085400,false
58,26267200,false
59,27464800,false
60,26859400,false
61,27504600,false
62,29526000,false
63,30034800,false
64,28769600,false
65,28124400,false
66,28124400,false
67,29437000,false
68,29391400,false
69,29266400,false
70,31283800,false
71,28810900,false
72,29343800,false
73,3512400,false
74,32333700,false
75,31019300,false
76,30513400,false
77,2792600,false
78,3967300,false
79,4163100,false
80,4123900,false
81,3553300,false
82,32880300,false
83,33000200,false
84,33506100,false
85,33515500,false
86,33515500,false
87,35854900,false
88,33515500,false
89,37405400,false
90,36763100,false
91,38921800,false
92,38279500,false
93,37091200,false
94,35940100,false
95,38843100,false
96,39485400,false
97,39485400,false
98,37023500,false
99,37842500,false
100,40179200,false
101,40179200,false
102,40718700,false
103,40718700,false
104,41235200,false
105,26698100,false
106,26698100,false
107,27234100,false
108,26684700,false
109,26684700,false
110,28280400,false
111,26646400,false
112,27156200,false
113,26679400,false
114,26650800,false
115,27171200,false
116,26801000,false
117,26262000,false
118,27325000,false
119,26364700,false
120,25832800,false
121,26357800,false
122,27541100,false
123,27000900,false
124,26986700,false
125,26093500,false
126,26629700,false
127,26065700,false
128,27274700,false
129,26191400,false
130,27274000,false
131,26220500,false
132,25110000,false
133,26738500,false
134,26273700,false
135,24354700,false
136,24875100,false
137,25690600,false
138,27012300,false
139,26212300,false
140,27126400,false
141,25847100,false
142,25214200,false
143,25770700,false
144,25736700,false
145,26467500,false
146,25374600,false
147,25370900,false
148,25428200,false
149,25937300,false
150,24874200,false
151,25410000,false
152,25940400,false
153,25940400,false
154,25386200,false
155,25386200,false
156,25923100,false
157,24840100,false
158,25838500,false
159,25287400,false
160,25287400,false
161,24629800,false
162,25783400,false
163,24342200,false
164,25634000,false
165,53734700,false
166,25041800,false
167,25338300,false
168,24772900,false
169,52391400,false
170,23580500,false
171,23630900,false
172,23525200,false
173,24047300,false
174,22358200,false
175,22877700,false
176,23396800,false
177,23878500,false
178,22806100,false
179,17888200,false
180,20876400,false
181,18193200,false
182,22510400,false
183,20460600,false
184,18367200,false
185,24028600,false
186,23392600,false
187,25609600,false
188,20887500,false
189,22967500,false
190,23875700,false
191,24875500,false
192,22450900,false
193,24875500,false
194,22450900,false
195,22886900,false
196,23450500,false
197,23450500,false
198,26390400,false
199,27026400,false
200,20889800,false
201,22654700,false
202,22138200,false
203,21936100,false
204,22414500,false
205,22936900,false
206,24195000,false
207,21351500,false
208,24656100,false
209,25195600,false
210,23415100,false
211,22381400,false
212,23937500,false
213,23892000,false
214,22645900,false
215,23352900,false
216,22645900,false
217,22121900,false
218,23002200,false
219,23831700,false
220,23002200,false
221,22477200,false
222,22366000,false
223,23365100,false
224,22655400,false
225,22847400,false
226,22010400,false
227,23136600,false
228,23010900,false
229,23655900,false
230,22418700,false
231,23476300,false
232,23419600,false
233,22822300,false
234,22901600,false
235,23082000,false
236,23820600,false
237,23082000,false
238,23300200,false
239,22401500,false
240,23559700,false
241,23400900,false
242,22871000,false
243,22871000,false
244,23173900,false
245,22611200,false
246,23348200,false
247,23173900,false
248,22648300,false
249,23047800,false
250,23099900,false
251,22517400,false
252,23047800,false
253,22517400,false
254,23002900,false
255,23002900,false
256,23002900,false
257,23002900,false
258,22004500,false
259,23001000,false
260,23001000,false
261,23001000,false
262,21996800,false
263,21996800,false
264,21996800,false
265,22995400,false
266,21999300,false
267,22995400,false
268,21999300,false
269,21999300,false
270,23000200,false
271,23000200,false
272,22000500,false
273,22000500,false
274,22000500,false
275,22000500,false
276,21999800,false
277,23000600,false
278,21999800,false
279,21999800,false
280,21999800,false
281,21999500,false
282,21999500,false
283,21999500,false
284,21999500,false
285,20997400,false
286,19999000,false
287,22000500,false
288,21002100,false
289,21002100,false
290,22000500,false
291,21000700,false
292,20001100,false
293,20001100,false
294,21000700,false
295,22006500,false
296,22006500,false
297,21006900,false
298,21006900,false
299,22002300,false
300,21001200,false
301,21001200,false
302,21001200,false
303,21001200,false
304,20000400,false
305,21001600,false
306,21001600,false
307,21001600,false
308,20001000,false
309,20998600,false
310,20998600,false
311,20998600,false
312,20998600,false
313,19997800,false
314,20997500,false
315,20997500,false
316,20997500,false
317,20997500,false
318,19998300,false
319,21000500,false
320,21000500,false
321,21000500,false
322,21000500,false
323,20001400,false
324,21001900,false
325,21001900,false
326,21001900,false
327,20001400,false
328,20001400,false
329,21000800,false
330,21000800,false
331,19999900,false
332,19999900,false
333,19999900,false
334,20998700,false
335,15996700,false
336,13000700,false
337,13000700,false
338,15000200,false
339,13999700,false
340,15000600,false
341,20999400,false
342,20999400,false
343,15999200,false
344,20000000,false
345,21002000,false
346,16002600,false
347,16002600,false
348,17997700,false
349,17001200,false
350,18000100,false
351,21001200,false
352,21001200,false
353,23000300,false
354,17001500,false
355,17001500,false
356,19997100,false
357,22001700,false
358,23001400,false
359,23001400,false
360,19000600,false
