Scylla requestN, Scylla Time [ns],Scylla Failed
0,6851000,false
1,6851000,false
2,8439300,false
3,8473200,false
4,8997000,false
5,9316900,false
6,9316900,false
7,10552200,false
8,9455000,false
9,10554900,false
10,11106000,false
11,11724600,false
12,12331400,false
13,2865500,false
14,12900500,false
15,14546000,false
16,15346700,false
17,15380600,false
18,14829500,false
19,15828600,false
20,15320400,false
21,8977600,false
22,16248600,false
23,18060500,false
24,12506300,false
25,19357300,false
26,18777300,false
27,19848500,false
28,19890900,false
29,12472500,false
30,14046600,false
31,22382000,false
32,22797500,false
33,23847600,false
34,16469800,false
35,24801900,false
36,15911300,false
37,26759600,false
38,18022700,false
39,18656000,false
40,28158000,false
41,27642400,false
42,29886700,false
43,19911800,false
44,29846800,false
45,30411200,false
46,20436300,false
47,31459200,false
48,31183000,false
49,21687200,false
50,21070700,false
51,20556100,false
52,32836100,false
53,32836100,false
54,33403600,false
55,34497900,false
56,33933500,false
57,33933500,false
58,22137200,false
59,34480700,false
60,35024400,false
61,23787400,false
62,35576300,false
63,36703400,false
64,35611700,false
65,36172100,false
66,22993200,false
67,36692100,false
68,36713200,false
69,37251100,false
70,24666600,false
71,37824400,false
72,38398700,false
73,38398700,false
74,38954300,false
75,25796500,false
76,39497300,false
77,25884000,false
78,40563200,false
79,40563200,false
80,41098500,false
81,41098500,false
82,41637400,false
83,27480500,false
84,28001700,false
85,26414300,false
86,42166800,false
87,25570200,false
88,26287000,false
89,44203000,false
90,43686200,false
91,26517400,false
92,44685500,false
93,44685500,false
94,27516700,false
95,45684700,false
96,45684700,false
97,45434800,false
98,28444200,false
99,28444200,false
100,27444900,false
101,46684200,false
102,29445800,false
103,47435900,false
104,48435700,false
105,28492100,false
106,48435700,false
107,48435700,false
108,50198700,false
109,28492900,false
110,27442800,false
111,49432000,false
112,49432000,false
113,49915700,false
114,50434300,false
115,50434300,false
116,28922700,false
117,51433900,false
118,26532700,false
119,51433900,false
120,28924600,false
121,52432500,false
122,28924600,false
123,53726500,false
124,53436200,false
125,27136600,false
126,52881700,false
127,28133300,false
128,28898400,false
129,29531700,false
130,54432900,false
131,55435500,false
132,55435500,false
133,54881000,false
134,54881000,false
135,28407400,false
136,28407400,false
137,55881200,false
138,27882900,false
139,55881200,false
140,56886500,false
141,28888200,false
142,57881900,false
143,29883600,false
144,57881900,false
145,57881900,false
146,58878400,false
147,29832100,false
148,28976700,false
149,29592700,false
150,29418900,false
151,29473400,false
152,28895000,false
153,28895000,false
154,29327700,false
155,28797800,false
156,28797800,false
157,28797800,false
158,29246800,false
159,28703100,false
160,29246800,false
161,28591500,false
162,29154200,false
163,29187000,false
164,28591500,false
165,28052200,false
166,29050500,false
167,28509400,false
168,29508900,false
169,28949900,false
170,28376600,false
171,28376600,false
172,28801000,false
173,28801000,false
174,28245400,false
175,28245400,false
176,28703700,false
177,28160100,false
178,27637800,false
179,27102500,false
180,28647000,false
181,27572800,false
182,28111700,false
183,27572800,false
184,28040200,false
185,27515200,false
186,1997800,false
187,26943000,false
188,27001800,false
189,1994600,false
190,28002200,false
191,28949400,false
192,2995000,false
193,28996300,false
194,27997000,false
195,27997000,false
196,26997800,false
197,27997000,false
198,27997600,false
199,26998100,false
200,27999800,false
201,28999300,false
202,27999800,false
203,28998800,false
204,27997200,false
205,26997400,false
206,26997400,false
207,26997400,false
208,28002600,false
209,29002400,false
210,27006300,false
211,27006300,false
212,27006300,false
213,28002300,false
214,27000000,false
215,28002300,false
216,27999800,false
217,27000200,false
218,27999800,false
219,27000200,false
220,28001500,false
221,28001500,false
222,27002900,false
223,27002900,false
224,27002900,false
225,26996700,false
226,26996700,false
227,28000400,false
228,27996300,false
229,26999600,false
230,26999600,false
231,27999800,false
232,26997200,false
233,26997200,false
234,26997200,false
235,27999800,false
236,27998700,false
237,26998500,false
238,26998500,false
239,27999800,false
240,27999800,false
241,27999800,false
242,2002800,false
243,27002600,false
244,27002600,false
245,27002600,false
246,28991900,false
247,27000000,false
248,1997400,false
249,27000000,false
250,28996300,false
251,27999800,false
252,27999800,false
253,26995600,false
254,26995600,false
255,27996600,false
256,27996600,false
257,26996400,false
258,26996400,false
259,27999700,false
260,27003500,false
261,27003500,false
262,28000700,false
263,28996900,false
264,26997700,false
265,26997700,false
266,27998700,false
267,27998700,false
268,27998700,false
269,27000400,false
270,27002300,false
271,28001800,false
272,27002300,false
273,27002300,false
274,27000300,false
275,27000300,false
276,27999000,false
277,28010900,false
278,27009600,false
279,52020600,false
280,27009600,false
281,29001400,false
282,26990900,false
283,26990900,false
284,28000100,false
285,27005600,false
286,27005600,false
287,27005600,false
288,25999600,false
289,27005600,false
290,26996000,false
291,25995600,false
292,25995600,false
293,25999700,false
294,26993800,false
295,25999700,false
296,25999700,false
297,27005400,false
298,26005600,false
299,27005400,false
300,25003900,false
301,27000700,false
302,25999000,false
303,25999000,false
304,26002400,false
305,26002400,false
306,27000700,false
307,27000700,false
308,27000700,false
309,25995500,false
310,27006500,false
311,27006500,false
312,27006500,false
313,27006500,false
314,28009200,false
315,28009200,false
316,27009400,false
317,27009400,false
318,29004100,false
319,28004300,false
320,28003900,false
321,28998700,false
322,31008100,false
323,30006800,false
324,30006800,false
325,30006800,false
326,30001800,false
327,30001800,false
328,29002200,false
329,29004600,false
330,31004400,false
331,30004800,false
332,53996300,false
333,30011000,false
334,32004600,false
335,32001400,false
336,33002900,false
337,32001400,false
338,33002900,false
339,33005000,false
340,32003700,false
341,33003100,false
342,33999700,false
343,32996200,false
344,32996200,false
345,33996600,false
346,33002700,false
347,34001000,false
348,35006800,false
349,34007000,false
350,36003300,false
351,35003500,false
352,36004300,false
353,36004300,false
354,35003300,false
355,37002100,false
356,36001100,false
357,36001100,false
358,36000000,false
359,36000000,false
360,37003300,false
361,35002800,false
362,36995700,false
363,35998500,false
364,35998500,false
365,34997500,false
366,36000700,false
367,37001700,false
368,36000700,false
369,36000700,false
370,35999400,false
371,35999400,false
372,35999400,false
373,36998800,false
374,36002100,false
375,36002100,false
376,36002100,false
377,35990800,false
378,35990800,false
379,35990800,false
380,35990800,false
381,35997500,false
382,35997500,false
383,35997500,false
384,35997500,false
385,35994400,false
386,35994400,false
387,35994400,false
388,35994400,false
389,36001000,false
390,36997400,false
391,36001000,false
392,36000900,false
393,36999100,false
394,36000900,false
395,36000900,false
396,35998200,false
397,35998200,false
398,36998700,false
399,38004400,false
400,36003600,false
401,36003600,false
402,37001300,false
403,37996400,false
404,35998900,false
405,35998900,false
406,35998600,false
407,35998600,false
408,34987600,false
409,35998600,false
410,35987700,false
411,36998700,false
412,35987700,false
413,32994100,false
414,36987900,false
415,34989200,false
416,35991700,false
417,35991700,false
418,33995900,false
419,35991700,false
420,35996100,false
421,32992300,false
422,31999800,false
423,32992300,false
424,34998900,false
425,31995700,false
426,29995900,false
427,31993900,false
428,29002000,false
429,33000300,false
430,33000300,false
431,34999700,false
432,25998800,false
433,35992200,false
434,26999200,false
435,36994400,false
436,36001900,false
437,31001000,false
438,34999300,false
439,31998600,false
440,30995000,false
441,31998600,false
442,31995600,false
443,30996200,false
444,28000900,false
445,29999600,false
446,30001100,false
447,27000500,false
448,30001100,false
449,27000500,false
450,27997000,false
451,28999300,false
452,27002000,false
453,27002000,false
454,27003300,false
455,28001100,false
456,27003300,false
457,28002600,false
458,27000400,false
459,28003900,false
460,28003900,false
461,27008200,false
462,28003900,false
463,28003000,false
464,28003000,false
465,26999800,false
466,28001000,false
467,28001000,false
468,30005700,false
469,28002400,false
470,29002500,false
471,28002400,false
472,28002400,false
473,28001400,false
474,28001400,false
475,28001400,false
476,28001400,false
477,27999100,false
478,27999100,false
479,27999100,false
480,27001900,false
481,27001900,false
482,28007500,false
483,28007500,false
484,29004700,false
485,27007300,false
486,28004900,false
487,28004900,false
488,28004900,false
489,27001900,false
490,28002000,false
491,28002000,false
492,27003900,false
493,27003900,false
494,27999200,false
495,26996200,false
496,27999200,false
497,26996200,false
498,26999000,false
499,26999000,false
500,26999000,false
501,26999000,false
502,26001300,false
503,26998300,false
504,26998300,false
505,26998300,false
506,26000300,false
507,27003000,false
508,27003000,false
509,27003000,false
510,26002900,false
511,27004100,false
512,27004100,false
513,27003400,false
514,27003400,false
515,27003400,false
516,27009500,false
517,27009500,false
518,28004500,false
519,28004500,false
520,28002400,false
521,28999700,false
522,28999700,false
523,28999700,false
524,29002600,false
525,29002600,false
526,27998000,false
527,28995100,false
528,28995100,false
529,29999700,false
530,27998300,false
531,30008400,false
532,31005200,false
533,30008400,false
534,29997200,false
535,29997200,false
536,29997200,false
537,30999400,false
538,29997200,false
539,30001500,false
540,30001500,false
541,29000900,false
542,31001100,false
543,30000500,false
544,30000500,false
545,29997800,false
546,29997800,false
547,30999700,false
548,31002000,false
549,31002000,false
550,31000300,false
551,32002600,false
552,31994700,false
553,30995600,false
554,29996300,false
555,30995600,false
556,32994300,false
557,29992400,false
558,30995900,false
559,33003200,false
560,31000400,false
561,31000400,false
562,30999200,false
563,30999200,false
564,32997100,false
565,32002300,false
566,31001100,false
567,31001100,false
568,30999100,false
569,30999100,false
570,30999100,false
571,30999100,false
572,31000000,false
573,32002800,false
574,32002800,false
575,32002800,false
576,33001200,false
577,31005800,false
578,32000500,false
579,3996300,false
580,32000500,false
581,31996900,false
582,33002500,false
583,2999500,false
584,32996200,false
585,32996200,false
586,32996200,false
587,31998600,false
588,32997100,false
589,32997100,false
590,32997100,false
591,32999200,false
592,32999200,false
593,32999200,false
