mongo requestN, mongo Time [ns],mongo Failed
0,10056800,false
1,15551000,false
2,16300700,false
3,18748400,false
4,20749000,false
5,21744200,false
6,22747500,false
7,22747500,false
8,22747500,false
9,23740600,false
10,23740600,false
11,24742400,false
12,35747700,false
13,35747700,false
14,35747700,false
15,35747700,false
16,35747700,false
17,38741900,false
18,38741900,false
19,39748000,false
20,41747300,false
21,42762000,false
22,42762000,false
23,42762000,false
24,43743800,false
25,44750300,false
26,46754600,false
27,46754600,false
28,46754600,false
29,49740600,false
30,52737800,false
31,52737800,false
32,53745100,false
33,53745100,false
34,53745100,false
35,54741200,false
36,54741200,false
37,54741200,false
38,54741200,false
39,88053600,false
40,88053600,false
41,88053600,false
42,90048400,false
43,90048400,false
44,90048400,false
45,91050400,false
46,91050400,false
47,91050400,false
48,98066100,false
49,106055400,false
50,110045400,false
51,88306900,false
52,111054400,false
53,111054400,false
54,111054400,false
55,112054600,false
56,112054600,false
57,113050700,false
58,90306800,false
59,98745600,false
60,104989500,false
61,93304200,false
62,116051700,false
63,116051700,false
64,117045600,false
65,95301400,false
66,94298100,false
67,102502000,false
68,118053000,false
69,85300800,false
70,85317400,false
71,111315300,false
72,130063700,false
73,94316000,false
74,131052700,false
75,131052700,false
76,89299500,false
77,99299300,false
78,88292400,false
79,111306400,false
80,91310000,false
81,108306300,false
82,147048200,false
83,148047200,false
84,63992500,false
85,60995700,false
86,113533000,false
87,130135100,false
88,82128600,false
89,150674100,false
90,121671400,false
91,189491100,false
92,141450300,false
93,85137100,false
94,102126400,false
95,203194500,false
96,204199100,false
97,224189900,false
98,226205500,false
99,227204300,false
100,227204300,false
101,228190300,false
102,137139900,false
103,229202200,false
104,230199300,false
105,176454200,false
106,236204200,false
107,122156800,false
108,238191900,false
109,203442100,false
110,241196600,false
111,111132900,false
112,210450600,false
113,231459500,false
114,138161100,false
115,163156100,false
116,146141800,false
117,262196200,false
118,147151000,false
119,136133500,false
120,155149300,false
121,118144400,false
122,223429600,false
123,212451900,false
124,137129400,false
125,268196100,false
126,138132400,false
127,121147900,false
128,138137200,false
129,269189900,false
130,132642300,false
131,134199400,false
132,174716400,false
133,91786000,false
134,241754300,false
135,172457200,false
136,113619900,false
137,174517300,false
138,85886500,false
139,290343200,false
140,290343200,false
141,290871900,false
142,255124200,false
143,90679400,false
144,175813600,false
145,174819700,false
146,291865300,false
147,62665900,false
148,176820300,false
149,158818900,false
150,148818400,false
151,297865800,false
152,298868500,false
153,114688900,false
154,50351800,false
155,276330500,false
156,230126800,false
157,80906200,false
158,53445800,false
159,84516400,false
160,178211000,false
