mongo requestN, mongo Time [ns],mongo Failed
0,8857800,false
1,13239200,false
2,17434300,false
3,20719400,false
4,21239000,false
5,22244200,false
6,17576300,false
7,25723900,false
8,25723900,false
9,28721400,false
10,31897100,false
11,33452300,false
12,34637500,false
13,35286300,false
14,35363000,false
15,36403900,false
16,36403900,false
17,35881700,false
18,36962600,false
19,38847400,false
20,38973900,false
21,39492600,false
22,39753200,false
23,42124600,false
24,41961200,false
25,42913200,false
26,43036900,false
27,32596400,false
28,43841800,false
29,44916900,false
30,45663900,false
31,46192900,false
32,44641000,false
33,44772000,false
34,46308100,false
35,47021000,false
36,47563000,false
37,47563000,false
38,47593100,false
39,51425500,false
40,51174400,false
41,52174400,false
42,53882300,false
43,53210600,false
44,54172300,false
45,53375800,false
46,53375800,false
47,54376200,false
48,54882700,false
49,56173400,false
50,55211700,false
51,44001700,false
52,57171500,false
53,57211000,false
54,58892400,false
55,59208900,false
56,59880600,false
57,60209300,false
58,60209300,false
59,60209300,false
60,61208100,false
61,62210000,false
62,46006600,false
63,63213300,false
64,47009900,false
65,63213300,false
66,65212900,false
67,65212900,false
68,68552600,false
69,47344700,false
70,73562400,false
71,53353900,false
72,53353900,false
73,58355700,false
74,76562500,false
75,76562500,false
76,76562500,false
77,75718600,false
78,76718900,false
79,77562800,false
80,76718900,false
81,76718900,false
82,77562800,false
83,80523700,false
84,81225300,false
85,78718100,false
86,79722100,false
87,79722100,false
88,79722100,false
89,80718300,false
90,80718300,false
91,81721800,false
92,81721800,false
93,81721800,false
94,82724500,false
95,82724500,false
96,56664600,false
97,83724000,false
98,61363600,false
99,84725100,false
100,85722800,false
101,85722800,false
102,57444000,false
103,87720100,false
104,87720100,false
105,60104800,false
106,89718400,false
107,90526700,false
108,90719200,false
109,92525200,false
110,57283500,false
111,62673200,false
112,59062300,false
113,62673200,false
114,61969900,false
115,94718500,false
116,63674500,false
117,96721900,false
118,62067000,false
119,66681900,false
120,68790400,false
121,64707100,false
122,99528400,false
123,55713300,false
124,57942700,false
125,58283700,false
126,58426800,false
127,62570300,false
128,64645200,false
129,65433800,false
130,62764600,false
131,64645200,false
132,62686900,false
133,59168500,false
134,51351400,false
135,58133900,false
136,56305800,false
137,52351200,false
138,55354200,false
139,64412400,false
140,66763500,false
141,62170000,false
142,64412400,false
143,55351700,false
144,55351700,false
145,58349600,false
146,53353700,false
147,50354600,false
148,55358800,false
149,50361200,false
150,54360700,false
151,58354100,false
152,57353700,false
153,57353700,false
154,54344700,false
155,53356500,false
156,52356100,false
157,58354400,false
158,56353800,false
159,54357800,false
160,52357100,false
161,38004600,false
162,39002800,false
163,46479200,false
164,52349200,false
165,50349600,false
166,53348800,false
167,55354000,false
168,42999700,false
169,41998600,false
170,43001100,false
171,54349600,false
172,49010300,false
173,56351400,false
174,53348500,false
175,40998600,false
176,43006700,false
177,40007200,false
178,42006400,false
179,41001300,false
180,43000500,false
181,43000500,false
182,45000200,false
183,43999900,false
184,45999600,false
185,43000100,false
186,39996400,false
187,42003000,false
188,42999200,false
189,40999500,false
190,42999900,false
191,2999400,false
192,43996100,false
193,42997000,false
194,41994300,false
195,41994300,false
196,41998200,false
197,40997100,false
198,41993600,false
199,42994700,false
200,39997100,false
201,41995200,false
202,41995200,false
203,2998100,false
204,2998100,false
205,41000200,false
206,41001600,false
207,40002600,false
208,39001800,false
209,39001800,false
210,37006000,false
211,38005500,false
212,38005500,false
213,38002900,false
214,37001600,false
215,38002900,false
216,38000300,false
217,38000300,false
218,34992900,false
219,36996100,false
220,36996100,false
221,33997100,false
222,36001000,false
223,36001000,false
224,34996900,false
225,34996900,false
226,34995600,false
227,33996000,false
228,33996000,false
229,33999100,false
230,33999100,false
231,33999100,false
232,33999100,false
233,1999300,false
234,33998700,false
235,33998700,false
236,33998700,false
237,34006700,false
238,34006700,false
239,34006700,false
240,32005000,false
241,32005000,false
242,32997800,false
243,33994400,false
244,34001200,false
245,33002400,false
246,33002400,false
247,33002400,false
248,33994000,false
249,35001000,false
250,35998400,false
251,34991400,false
252,34991400,false
253,33997200,false
254,33997200,false
255,33997200,false
256,35997700,false
257,34997000,false
258,35997700,false
259,32995300,false
260,33995400,false
261,34997700,false
262,33000000,false
263,36996300,false
264,34994600,false
265,33999200,false
266,34994600,false
267,34998600,false
268,33999000,false
269,35000000,false
270,35000000,false
271,33999200,false
272,35001600,false
273,35001600,false
274,35001600,false
275,35000600,false
276,35000600,false
277,35000600,false
278,33992800,false
279,34993400,false
280,34993400,false
281,33999300,false
282,35001400,false
283,35001400,false
284,74998700,false
285,34002000,false
286,33999600,false
287,33999600,false
288,32996500,false
289,33997400,false
290,35000500,false
291,33997400,false
292,33000500,false
293,34002400,false
294,34999800,false
295,33999200,false
296,33999200,false
297,33999200,false
298,72002200,false
299,33003600,false
300,33003600,false
301,33004600,false
302,33004600,false
303,34003900,false
304,32002300,false
305,33005600,false
306,33005600,false
307,32004900,false
308,32999800,false
309,32999800,false
310,31997600,false
311,31997600,false
312,32996700,false
313,32996700,false
314,31999800,false
315,32997200,false
316,32997200,false
317,31998500,false
318,32997900,false
319,32997900,false
320,31998700,false
321,32999900,false
322,32000100,false
323,32999900,false
324,32999100,false
325,32999100,false
326,32999100,false
327,33003600,false
328,33003600,false
329,32001300,false
330,32001300,false
331,32999300,false
332,32999300,false
333,32002300,false
334,32002300,false
335,31991800,false
336,31991800,false
337,32999600,false
338,32992700,false
339,34000500,false
340,30996500,false
341,33000400,false
342,33000400,false
343,31997000,false
344,33993200,false
345,34993500,false
346,32997300,false
347,32997300,false
348,30001800,false
349,31997600,false
350,32002700,false
351,33000100,false
352,36522900,false
353,37523600,false
354,36522900,false
355,37526000,false
356,36526200,false
357,36526200,false
358,37525300,false
359,40938800,false
360,39938700,false
361,39938700,false
362,41462500,false
363,42461700,false
364,42464000,false
365,47499900,false
366,48500900,false
367,49500300,false
368,49500300,false
369,48500900,false
370,47499900,false
371,48661800,false
372,47659400,false
373,49002800,false
374,50000300,false
375,49574800,false
376,50768800,false
377,50768800,false
378,52763300,false
379,58764400,false
380,59766500,false
381,59766500,false
382,59766500,false
383,58764400,false
384,58764400,false
385,59765200,false
386,58768200,false
387,58768200,false
388,58768200,false
389,58769600,false
390,58769600,false
391,59766100,false
392,59766100,false
393,58764200,false
394,59768200,false
395,62121200,false
396,62646400,false
397,63961700,false
398,64320100,false
399,65086000,false
400,65086000,false
401,65608500,false
402,65608500,false
403,65608500,false
404,69610700,false
405,68607400,false
406,70174100,false
407,70174100,false
408,70301400,false
409,70889000,false
410,71445300,false
411,70574600,false
412,72108000,false
413,71727400,false
414,71727400,false
415,71314800,false
416,71844200,false
417,72366200,false
418,71952200,false
419,72046900,false
420,71045700,false
421,71676900,false
422,72197500,false
423,73198700,false
424,71908700,false
425,71908700,false
426,72415700,false
427,71429700,false
428,71952900,false
429,72519800,false
430,73041500,false
431,72069500,false
432,72069500,false
433,72606600,false
434,72133400,false
435,73187100,false
436,72765700,false
437,72765700,false
438,71764800,false
439,72365000,false
440,71980900,false
441,72981400,false
442,72550000,false
443,72550000,false
444,73146700,false
445,72146400,false
446,72750800,false
447,71749100,false
448,73307200,false
449,70820100,false
450,64348800,false
451,65351900,false
452,72421200,false
453,64894700,false
454,65426300,false
455,66429400,false
456,72485600,false
457,66964700,false
458,65855400,false
459,62441900,false
460,62441900,false
461,62969200,false
462,60977500,false
463,60565600,false
464,62125700,false
465,54087900,false
466,54608500,false
467,54643400,false
468,55180000,false
469,55180000,false
470,55746500,false
471,52243700,false
472,55102600,false
473,55102600,false
474,53359700,false
475,51593700,false
476,53305000,false
477,52111000,false
478,51641300,false
479,42640000,false
480,43190600,false
481,42189800,false
482,43775400,false
483,42774600,false
484,43775400,false
485,43353300,false
486,44354100,false
487,44354100,false
488,43968900,false
489,42495400,false
490,43491900,false
491,44066500,false
492,43070000,false
493,43070000,false
494,38818900,false
495,39939900,false
496,34448000,false
497,43487300,false
498,35642400,false
499,37720900,false
500,40374300,false
501,38262200,false
502,39028100,false
503,31705700,false
504,33272400,false
505,37809800,false
506,32240900,false
507,33344100,false
508,31658800,false
509,31747300,false
510,31219100,false
511,31347500,false
512,31246800,false
513,32156700,false
514,32259800,false
515,32201600,false
516,31026000,false
517,3432500,false
518,32248500,false
519,31663100,false
