sql requestN, sql Time [ns],sql Failed
0,13322500,false
1,25355200,false
2,37744800,false
3,47774600,false
4,73403800,false
5,80396700,false
6,79318300,false
7,80396700,false
8,88789000,false
9,108880700,false
10,29332600,false
11,109188700,false
12,109794300,false
13,37461900,false
14,112948400,false
15,116163200,false
16,118342000,false
17,118862800,false
18,124141000,false
19,124146500,false
20,132347300,false
21,23158600,false
22,132885800,false
23,132867300,false
24,17765300,false
25,135027500,false
26,27231500,false
27,135561500,false
28,138263700,false
29,140398800,false
30,27450400,false
31,51724400,false
32,141507700,false
33,24244600,false
34,142060700,false
35,25508600,false
36,26750700,false
37,154441500,false
38,155373700,false
39,32221500,false
40,156888500,false
41,41102100,false
42,176458100,false
43,47556500,false
44,45955400,false
45,40486500,false
46,38857100,false
47,44803300,false
48,182379600,false
49,43495600,false
50,184372300,false
51,191369200,false
52,192363500,false
53,193367800,false
54,196371300,false
55,173529500,false
56,56076500,false
57,199369000,false
58,199889500,false
59,70100800,false
60,203364300,false
61,32000000,false
62,53999300,false
63,204891000,false
64,205373300,false
65,206380900,false
66,206380900,false
67,50012900,false
68,31058700,false
69,211942100,false
70,173676800,false
71,216486800,false
72,217007300,false
73,44118500,false
74,223483600,false
75,224004100,false
76,43118800,false
77,44120200,false
78,222489300,false
79,70121000,false
80,223483600,false
81,236495200,false
82,229273300,false
83,262586600,false
84,53158800,false
85,71217400,false
86,264580000,false
87,64215500,false
88,264590400,false
89,264590400,false
90,62208900,false
91,74215900,false
92,74213600,false
93,52092800,false
94,276580700,false
95,283593400,false
96,283593400,false
97,283593400,false
98,284587700,false
99,284587700,false
100,284587700,false
101,284587700,false
102,284587700,false
103,283593400,false
104,130213900,false
105,286581900,false
106,71092400,false
107,76157600,false
108,288585200,false
109,288585200,false
110,289603700,false
111,289603700,false
112,305503300,false
113,304509000,false
114,304509000,false
115,363217100,false
116,362222800,false
117,363217100,false
118,229182400,false
119,363221400,false
120,363221400,false
121,365217300,false
122,80629600,false
123,364223000,false
124,89634800,false
125,367219300,false
126,104632700,false
127,370293400,false
128,369214500,false
129,321960400,false
130,133239800,false
131,369219600,false
132,370222100,false
133,371229000,false
134,371229000,false
135,240807700,false
136,266511000,false
137,111645500,false
138,376232500,false
139,376232500,false
140,236722600,false
141,379217200,false
142,379221300,false
143,379221300,false
144,379221300,false
145,139239300,false
146,400213500,false
147,315050400,false
148,139708900,false
149,316186800,false
150,133698600,false
151,132602400,false
152,74887600,false
153,233724000,false
154,257731600,false
155,72891900,false
156,299044800,false
157,309765900,false
158,136609400,false
159,218629100,false
160,262745800,false
161,245745000,false
162,262745800,false
163,445115700,false
164,368333400,false
165,370333700,false
166,86889000,false
