sql requestN, sql Time [ns],sql Failed
0,10745200,false
1,16437100,false
2,17571000,false
3,18631400,false
4,21118100,false
5,22281600,false
6,21641000,false
7,22281600,false
8,26114600,false
9,27116200,false
10,27641600,false
11,27468700,false
12,30116300,false
13,33321600,false
14,35119200,false
15,36114000,false
16,34943400,false
17,35468800,false
18,36639400,false
19,33807500,false
20,37114800,false
21,37114800,false
22,28557600,false
23,38114600,false
24,37317100,false
25,35807400,false
26,38324600,false
27,40122200,false
28,39946300,false
29,39962500,false
30,25845800,false
31,24658600,false
32,42124000,false
33,43642400,false
34,26712000,false
35,41785300,false
36,44470300,false
37,42785000,false
38,44470300,false
39,41286500,false
40,45115500,false
41,45472700,false
42,46117900,false
43,46117900,false
44,46473900,false
45,44788600,false
46,43811800,false
47,46473900,false
48,48116100,false
49,47470900,false
50,48641500,false
51,44287100,false
52,44639400,false
53,46285700,false
54,49782700,false
55,30997600,false
56,46081300,false
57,48284200,false
58,48284200,false
59,32526100,false
60,49289800,false
61,49289800,false
62,47559500,false
63,50286100,false
64,23998800,false
65,50109500,false
66,50109500,false
67,51647600,false
68,49569700,false
69,53290900,false
70,50564300,false
71,52846300,false
72,52318500,false
73,54290900,false
74,53850200,false
75,54646100,false
76,59644000,false
77,59644000,false
78,58848100,false
79,58564700,false
80,60642600,false
81,38004800,false
82,62289700,false
83,60565900,false
84,46005900,false
85,63814200,false
86,62087600,false
87,61563900,false
88,32005500,false
89,63641800,false
90,41997700,false
91,65284900,false
92,62558300,false
93,63565200,false
94,64847200,false
95,49005200,false
96,65081700,false
97,65081700,false
98,66635900,false
99,64558000,false
100,67639500,false
101,65561600,false
102,67639500,false
103,49002800,false
104,70994200,false
105,71748400,false
106,73591000,false
107,40970100,false
108,43087800,false
109,74625300,false
110,40064000,false
111,44598100,false
112,36585100,false
113,41586100,false
114,37587500,false
115,40579000,false
116,44590100,false
117,77672900,false
118,78679100,false
119,44588800,false
120,48597000,false
121,40595200,false
122,38590300,false
123,47591700,false
124,44582400,false
125,81432800,false
126,61592600,false
127,40588100,false
128,43592200,false
129,53588500,false
130,42589800,false
131,37599200,false
132,44596900,false
133,37585400,false
134,38591000,false
135,35591300,false
136,37590000,false
137,50588200,false
138,41590400,false
139,55595600,false
140,87707000,false
141,36585100,false
142,35583500,false
143,55588800,false
144,35583500,false
145,37584400,false
146,42591100,false
147,46588200,false
148,41579800,false
149,45591900,false
150,43590000,false
151,60714600,false
152,34324600,false
153,56327900,false
154,46856400,false
155,35978800,false
156,45511300,false
157,57581100,false
158,43099900,false
159,52235200,false
